accident_index,vehicle_reference,casualty_type,accident_year,accident_reference,longitude,latitude,accident_severity,number_of_casualties,date,local_authority_district,local_authority_ons_district,lsoa_of_accident_location,user_type,quarter,year_quarter
2019010156398,1,1,2019,10156398,-0.176574,51.530624,2,1,2019-01-08,1,E09000033,E01004726,Cyclist,1,2019_Q1
2019010156406,2,0,2019,10156406,0.125526,51.547381,2,1,2019-01-08,16,E09000002,E01000077,Pedestrian,1,2019_Q1
2019010156381,1,0,2019,10156381,0.117531,51.563128,2,1,2019-01-08,14,E09000026,E01032581,Pedestrian,1,2019_Q1
2019010160448,1,1,2019,10160448,-0.124205,51.486175,2,1,2019-01-09,9,E09000022,E01033208,Cyclist,1,2019_Q1
2019480928016,1,0,2019,480928016,-0.084681,51.512622,3,1,2019-01-09,570,E09000001,E01032739,Pedestrian,1,2019_Q1
2019010156941,1,1,2019,10156941,-0.178907,51.497819,3,1,2019-01-09,12,E09000020,E01002820,Cyclist,1,2019_Q1
2019010157317,1,0,2019,10157317,0.102624,51.4263,3,1,2019-01-09,18,E09000004,E01000457,Pedestrian,1,2019_Q1
2019010157070,1,0,2019,10157070,-0.339183,51.589393,3,1,2019-01-09,29,E09000015,E01002182,Pedestrian,1,2019_Q1
2019010156633,1,0,2019,10156633,-0.332505,51.582158,3,1,2019-01-09,29,E09000015,E01002126,Pedestrian,1,2019_Q1
2019010156574,1,0,2019,10156574,-0.104036,51.546632,3,1,2019-01-09,3,E09000019,E01002795,Pedestrian,1,2019_Q1
2019010156624,1,0,2019,10156624,-0.142212,51.50701,2,2,2019-01-09,1,E09000033,E01004736,Pedestrian,1,2019_Q1
2019010156427,1,0,2019,10156427,-0.12452,51.44511,3,1,2019-01-09,9,E09000022,E01003137,Pedestrian,1,2019_Q1
2019010156448,2,1,2019,10156448,0.127103,51.535725,3,1,2019-01-09,16,E09000002,E01000055,Cyclist,1,2019_Q1
2019010156457,1,1,2019,10156457,-0.095847,51.540672,3,1,2019-01-09,3,E09000019,E01002719,Cyclist,1,2019_Q1
2019010156465,1,0,2019,10156465,-0.09018,51.467622,3,1,2019-01-09,8,E09000028,E01004051,Pedestrian,1,2019_Q1
2019010156499,1,1,2019,10156499,-0.075045,51.474182,3,1,2019-01-09,8,E09000028,E01004066,Cyclist,1,2019_Q1
2019010156503,1,0,2019,10156503,-0.191361,51.546023,3,1,2019-01-09,2,E09000007,E01000968,Pedestrian,1,2019_Q1
2019010156508,1,1,2019,10156508,-0.041141,51.474681,2,1,2019-01-09,7,E09000023,E01003340,Cyclist,1,2019_Q1
2019010156510,1,1,2019,10156510,-0.150542,51.540046,3,1,2019-01-09,2,E09000007,E01000862,Cyclist,1,2019_Q1
2019010156630,1,0,2019,10156630,-0.321721,51.533212,3,1,2019-01-09,27,E09000009,E01001348,Pedestrian,1,2019_Q1
2019010156525,1,1,2019,10156525,-0.163492,51.528603,3,1,2019-01-09,1,E09000033,E01004727,Cyclist,1,2019_Q1
2019010156546,1,0,2019,10156546,-0.102575,51.537724,3,1,2019-01-09,3,E09000019,E01002793,Pedestrian,1,2019_Q1
2019010156883,1,1,2019,10156883,-0.109799,51.527984,3,1,2019-01-09,3,E09000019,E01002726,Cyclist,1,2019_Q1
2019010156583,1,0,2019,10156583,-0.114471,51.512619,3,1,2019-01-09,1,E09000033,E01004735,Pedestrian,1,2019_Q1
2019010156613,1,1,2019,10156613,-0.331581,51.518281,3,1,2019-01-09,27,E09000009,E01001286,Cyclist,1,2019_Q1
2019010156605,1,1,2019,10156605,-0.018924,51.465665,3,1,2019-01-09,7,E09000023,E01003278,Cyclist,1,2019_Q1
